[2026-04-24 00:00:54] [INFO] [API/UploadRecords] 收到同步请求, stationID=1, records=1
[2026-04-24 01:27:55] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:27:55] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:28:56] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:28:56] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:29:58] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:29:58] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:30:59] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:30:59] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:32:00] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:32:00] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:33:01] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:33:01] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:34:03] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:34:03] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:35:04] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:35:04] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:36:06] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:36:06] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:37:07] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:37:07] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:38:09] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:38:09] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:39:09] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:39:10] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:40:11] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:40:11] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:41:13] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:41:13] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:42:14] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:42:14] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:43:15] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:43:16] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:44:17] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:44:17] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:45:18] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:45:18] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:46:19] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:46:19] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:47:21] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:47:21] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:48:22] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
[2026-04-24 01:48:22] [INFO] [CenterProbe] sh-local10 [sh-local10] 在线
[2026-04-24 01:49:24] [INFO] [CenterProbe] sh-agent-01 [sh-agent-01] 在线
